Category,Name,Status,Value,Type,Area,Coverage,Speed,Usage,Issue,Count,Device,Service,System,Screen,Percentage
Routers,Router 1,Good,45,,,,,45,,,,,,,,
Routers,Router 2,Good,67,,,,,67,,,,,,,,
Routers,Router 3,Unstable,89,,,,,89,,,,,,,,
WiFi Coverage,,,,,Warehouse A,95,,,,,,,,,
WiFi Coverage,,,,,Office B,75,,,,,,,,,
WiFi Coverage,,,,,Production Floor,88,,,,,,,,,
WiFi Coverage,,,,,Loading Dock,65,,,,,,,,,
WiFi Coverage,,,,,Admin Building,92,,,,,,,,,
WiFi Coverage,,,,,Parking Area,55,,,,,,,,,
WiFi Speed,,,,Upload,,,50,,,,,,,,
WiFi Speed,,,,Download,,,100,,,,,,,,
Virtual Machines,,,,,,,,,,,,,Sales,,
Virtual Machines,,,,,,,,,,,,,SAP,,
Virtual Machines,,,,,,,,,,,,,Veeam Jobs,,
Virtual Machines,,,,,,,,,,,,,Email Server,,
Virtual Machines,,,,,,,,,,,,,File Server,,
Row Materials,,,,,,,,,,Spring Repair,4,,,,,
Row Materials,,,,,,,,,,Scanning Issue,3,,,,,
Row Materials,,,,,,,,,,Cement,20,,,,,
Row Materials,,,,,,,,,,Packaging,12,,,,,
Forklifts,,Ready,,Electric,,,,,,,,,,,
Forklifts,,Not Ready,,Gas,,,,,,,,,,,
Forklifts,,Ready,,Diesel,,,,,,,,,,,
Forklifts,,Ready,,Hybrid,,,,,,,,,,,
Gates,Gate A,Operational,,,,,,,,,,,,,,
Gates,Gate B,Operational,,,,,,,,,,,,,,
Gates,Gate C,Down,,,,,,,,,,,,,,
Cameras,,,,Working,,,,,,45,,,,,
Cameras,,,,Down,,,,,,3,,,,,
Server Room,,,,,,,,,,,NVR 1,,,,
Server Room,,,,,,,,,,,NVR 2,,,,
Server Room,,,,,,,,,,,Switch 1,,,,
Server Room,,,,,,,,,,,Switch 2,,,,
Server Room,,,,,,,,,,,AC Unit 1,,,,
Server Room,,,,,,,,,,,AC Unit 2,,,,
Services,,,,,,,,,,,,,WhatsApp,,
Services,,,,,,,,,,,,,Charging Devices,,
Services,,,,,,,,,,,,,Printer Network,,
Bins,FG WH,Good,27,,,,,,,,,,,,,
Bins,EnterLock WH,Good,42,,,,,,,,,,,,85
Security Screens,,Good,,,,,,,,,,,,,Screen 1,
Security Screens,,Good,,,,,,,,,,,,,Screen 2,
Security Screens,,Warning,,,,,,,,,,,,,Screen 3,
